('1', (332, 137))^('0', (1274, 846))^('3', (428, 27))^('2', (401, 69))^168^628
jmi group^('jmi', 1)
world business angels investment forum^('world business angels investment forum', 0)
hunter bond^('hunter bond', 0)
thoughtworks^('thoughtworks', 0)
morgan stanley^('morgan stanley', 0)^('morgan stanley', 0)^('morgan stanley', 0)^('morgan stanley', 0)
elwood technologies^('elwood technologies', 0)
lab49^('lab49', 0)
databp^('databp', 0)
bbva^('bbva', 0)^('bbva', 0)
undisclosed^('undisclosed', 0)
maven securities^('maven securities', 0)^('maven securities', 0)
ion trading^('ion trading', 0)^('ion trading', 0)
pension insurance^('pension insurance', 0)
sionic^('sionic', 0)
standard bank group^('standard bank', 0)
optimar consulting^('optimar consulting', 0)
orbis systems,^('orbis protect', 1)
osborn williams^('osborn leisure', 1)
north rock capital management^('north rock capital management', 0)
s squared^('s m', 1)
tata consultancy services^('tata consultancy services', 0)^('tata consultancy services', 0)^('tata consultancy services', 0)^('tata consultancy services', 0)
spencer stuart^('spencer stuart', 0)
quokka capital^('quokka capital', 0)
mufg^('mufg', 0)^('mufg', 0)^('mufg', 0)
euroclear^('euroclear', 0)
moscow exchange^('moscow exchange', 0)
options technology^('options', 1)
efficient fitness^('efficient fitness', 0)
kbc group nv^('kbc bank & verzekering', 0)
comtat cycling^('comtat cycling', 0)
adobe^('adobe', 0)
s&p^('s&p global', 0)
mckinsey & company^('mckinsey & company', 0)^('mckinsey & company', 0)
meta^('meta', 0)^('meta', 0)^('meta', 0)^('meta', 0)^('meta', 0)
ey^('ey', 0)^('ey', 0)
cannes lions international festival of creativity^('cannes lions international festival of creativity', 0)
peopleperhour^('peopleperhour', 0)
visense 3d rendering studio^('visense 3d rendering studio', 0)
jpmorgan chase & co.^('j.p. morgan', 0)^('j.p. morgan', 0)^('j.p. morgan', 0)^('jpmorgan chase & co.', 0)^('j.p. morgan', 0)^('j.p. morgan', 0)^('jpmorgan chase & co.', 0)^('jpmorgan chase & co.', 0)^('j.p. morgan', 0)^('jpmorgan chase & co.', 0)^('jpmorgan chase & co.', 0)^('j.p. morgan', 0)^('jpmorgan chase & co.', 0)
neosoft technologies (a cmmi level 5 organization)^('neosoft technologies', 2)
spenz media^('spenz media', 0)
triazine software pvt. ltd.^('triazine software', 2)^('triazine software', 2)
alphagrep hong kong^('alphagrep securities', 0)
silkroad^('silkroad', 0)
mizuho^('mizuho international', 0)
vinter^('vinter', 0)
thinkwik^('thinkwik', 0)
market wizards^('market dynamics', 1)
commerzbank ag^('commerzbank', 0)^('commerzbank', 0)^('commerzbank', 0)^('commerzbank', 0)
bankbazaar^('bankbazaar', 0)
asx^('australian prudential regulation authority', 1)
tiksom^('tiksom', 0)
kpl tech solution pvt. ltd.^('kpl tech solution', 3)
high frequency trading^('high frequency trading', 0)
growthline capital^('growthlink', 0)
